Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021,01,01,0.0028413145599999997,0.0031021313418282486,0.003964357921329634,0.004930557007423822,0.0056652818898614956,0.004182363940166198,0.0027081454448753426,0.0003481146681440408,9.856338614958605e-05,0.0002718901930193917,0.0003001451222160667,0.0003060306260387807,0.00046385957229916894,0.001026228799113571,0.0011712417329639902,0.0007234416930747944,-1.3702917673132098e-05,-0.0001238057059279707,-8.522973606648193e-05,0.00022738260033242642,0.0006247742865374009,0.0010681228374515254,0.0009818214045429403,0.0013923910736842126
2021,01,02,0.0017224744350138488,0.0017932055437119149,0.0024868008881994393,0.00459080165052631,0.0032530575140166246,0.003369078405318554,0.0034700511273130135,0.0019661301681994465,0.001853010600775623,0.00309782825484764,0.004726600967091416,0.0061236238360110815,0.007246708799113577,0.009045327980498613,0.010164862922105253,0.009457334444321324,0.0068196541659833795,0.0043632304363434935,0.0027503896713573436,0.002506635477451527,0.0015602969777285384,0.0015510916680332373,0.0022192023472576124,0.003435156586371185
2021,01,03,0.004820987808975066,0.00520112933584487,0.005598724198116351,0.005970485596897494,0.00642111171722991,0.005551535452188366,0.0038274456536288026,0.0013333040824376695,0.0032486261469252043,0.0059028770251523515,0.008220549857506917,0.00885180913108033,0.008715347944598339,0.008882933827368423,0.009354827161883645,0.008431987338282538,0.004559026171745145,0.001423503292631584,0.0015326647490304754,0.0029808171328531835,0.0026471820126315825,0.002977163438448746,0.0039971901872576125,0.005654551022271454
2021,01,04,0.006453063332520761,0.007778340949806087,0.0075453453580055395,0.006644933903601112,0.006321722107036016,0.005804785505152346,0.005089442740831019,0.0015178353604432175,0.001721099711468141,0.0036089490366758986,0.005077572924986143,0.005554047418504146,0.005691493970969519,0.005857630581717446,0.005889713256952908,0.006022999217285313,0.004792850767423822,0.007236533380609414,0.011424777296842102,0.013168077594238225,0.013055883754016628,0.012935236627146823,0.011666510817506921,0.010924537490083099
2021,01,05,0.010205817018504147,0.00986857154304708,0.01042190951180055,0.010679189096952897,0.0119111928234903,0.011178961175401658,0.008689426065373958,0.0045063752686980655,0.007837203980055404,0.013220961492742375,0.017217655901606645,0.017923213299944583,0.018046554057396115,0.016995676862049853,0.013985783061274234,0.009350102813074794,0.00555518014404432,0.004662856878448746,0.0036348567011634343,0.0021059680195013794,0.002034743185373959,0.0023775104567313023,0.0027703213314127337,0.0040178790825484865
2021,01,06,0.004078491284210529,0.003313786908365643,0.003060755983601106,0.0036540775924653727,0.004410969419168973,0.004227828121883654,0.0032848818916343474,0.0018942243847091408,0.00501567198315789,0.00682981884454293,0.006983328056731297,0.007378807259833797,0.008882775032908588,0.011082196206980602,0.013033964019944597,0.013479995461495841,0.011320123493407195,0.008517073189584484,0.007371339686648204,0.005830851964099719,0.005584662437229926,0.004823581936398888,0.005759192695844869,0.010034228295623268
2021,01,07,0.0111794940702493,0.0109410890105263,0.009966147478337933,0.007809769020276994,0.006874115269141272,0.005676528310249307,0.0038233127960110775,0.002505663978725747,0.005190027495180058,0.007735608905041549,0.008446516132520775,0.00901949729684211,0.009747785048642658,0.011165306114127412,0.01164011255490305,0.010518429702382271,0.007432456701163434,0.006189930842770084,0.005698437651855952,0.005285154230249309,0.004949359069252077,0.0051737450122991665,0.005555612145817172,0.006089986478448756
2021,01,08,0.007089642615844871,0.009634034093739613,0.01856736796720221,0.023360676417950123,0.019781498138947355,0.01511811424088642,0.010235331910914122,0.007742812620941826,0.0093483459971191,0.014623012432132954,0.022879913052188346,0.031098107337396107,0.037945777214404425,0.04732735977662049,0.054126161420055385,0.04550278750670361,0.030914528478670343,0.022277792138282546,0.021843621162548472,0.02394804422914127,0.028894890669030466,0.0322713576137396,0.03495205252609417,0.036290450224930736
2021,01,09,0.03534657618260387,0.03530221560199446,0.03408359268698059,0.033716873920886424,0.03395795804897506,0.03312198445739613,0.029552810325096934,0.02830049840576177,0.0392848617697507,0.05846115152132962,0.0697714248296953,0.06267566333518004,0.05086148578570639,0.040503321373074774,0.033529496440553995,0.025611768688753457,0.017200011519999985,0.010564128616952901,0.008864565504709144,0.010268256067368415,0.010611198780277008,0.011638474321551247,0.01359125592997229,0.017080740854072005
2021,01,10,0.025103470860055387,0.029753807835124647,0.033496427009418274,0.03357214562925206,0.03232106454869805,0.029315752254404415,0.02539874913861495,0.021037121904044328,0.0248982836334626,0.028165949007423818,0.029376380755678676,0.027761915624598316,0.024213571839999996,0.020870941606648187,0.015179367527534621,0.008681598259058168,0.0019252471454847598,0.00028244283922437553,0.0007445785422714693,0.0014418709203324067,0.0015011198333517912,0.002602619298393352,0.003944624920110792,0.004513140728199433
